Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2011-01-03,7503.95,7524.6,7463.8,7492.45,16254848,660.47
2011-01-04,7500.3,7560.65,7499.55,7512.3,14898858,816.95
2011-01-05,7489.75,7547.15,7479.65,7508,14483185,678.81
2011-01-06,7544.7,7566.6,7484.25,7545.95,9719780,605.66
2011-01-07,7533.7,7591.9,7311.3,7333.8,12361883,812.66
2011-01-10,7343.3,7418.2,7264.75,7317.45,15121113,1058.39
2011-01-11,7233.55,7369.35,7131.5,7194.5,17366152,1173.1
2011-01-12,7247.35,7356.25,7195.15,7324.05,14510669,932.56
2011-01-13,7198.85,7202.4,7044.8,7063.95,16769301,1590.07
2011-01-14,7043.65,7219.8,7043.65,7068.2,12196897,888.64
2011-01-17,7057.55,7197.5,7049.8,7178.2,9189154,721.47
2011-01-18,7209.55,7378.05,7209.55,7360.85,13154829,1151.25
2011-01-19,7349.45,7353.6,7231.15,7267.1,13130894,823.88
2011-01-20,7222.9,7373.6,7207.8,7353.75,12674324,901.72
2011-01-21,7302.7,7305.3,7228.8,7249.8,13802033,744.84
2011-01-24,7232.6,7312.75,7207.65,7295.1,13504600,844.34
2011-01-25,7283.3,7327.1,7220.4,7242.5,11701951,916.95
2011-01-27,7256.5,7256.5,7132.9,7146.55,30961839,1466.19
2011-01-28,7159.55,7220.45,7005.9,7065.35,15256345,1041.21
2011-01-31,6990.75,6995.1,6884.9,6971.25,13824906,925.62
2011-02-01,6992,6999.75,6824.75,6898.65,11803685,875.29
2011-02-02,6964.4,7063.3,6928.9,6961.65,10223230,846.13
2011-02-03,6978.75,7061.8,6928.55,6998.9,12134820,654.77
2011-02-04,6965.65,7001.4,6824.2,6850.65,13918834,782.48
2011-02-07,6916.85,6920.35,6839.8,6861.25,13509664,736.32
2011-02-08,6879.55,6915.45,6830.75,6847.5,12619678,783.29
2011-02-09,6825.15,6867.15,6759.05,6828.9,14727381,890.65
2011-02-10,6799.5,6811.85,6697.3,6720.45,17690432,867.94
2011-02-11,6667.25,6742.75,6624.05,6719.65,16663996,917.53
2011-02-14,6727.45,6888.1,6724.4,6869.05,12386489,735.13
2011-02-15,6872.8,6892.1,6782.15,6855.05,11496476,639.65
2011-02-16,6831.15,6884.85,6800.4,6862.1,8968387,493.6
2011-02-17,6895.6,6916.55,6857,6893.3,10566448,529.62
2011-02-18,6911.35,6957.25,6805.15,6832.05,13741234,856.68
2011-02-21,6831.05,7026.15,6784.2,7014.1,14706103,1040.31
2011-02-22,6958.35,7029.6,6900.4,6966.8,11922088,743.29
2011-02-23,6906.85,6923.65,6846.45,6856.7,9456608,642.64
2011-02-24,6803.9,6827.8,6683.75,6706.45,25798894,1520.58
2011-02-25,6723.8,6728.2,6599.75,6679.8,23641247,1372.72
2011-02-28,6688.55,6918.7,6628.05,6666.3,16767029,1218.38
2011-03-01,6714.6,6853.75,6671.55,6831.45,14678883,932.36
2011-03-03,6779.05,6814.2,6706.55,6786.8,12272466,990.24
2011-03-04,6859.85,6894.7,6793.65,6810.55,10444080,774.12
2011-03-07,6754.7,6794.6,6703.1,6747.05,11332551,795.4
2011-03-08,6730.3,6898.35,6722.85,6871.7,12668949,930.7
2011-03-09,6879.95,6914.2,6809,6861.9,9464599,642.57
2011-03-10,6851.65,6851.65,6775.45,6827.7,7514825,436.23
2011-03-11,6780.4,6798.5,6692.7,6722.25,13264898,870.02
2011-03-14,6683.05,6831.05,6676.9,6822,9875844,589.36
2011-03-15,6686.05,6738.5,6630.9,6689.05,11111212,807.59
2011-03-16,6689.25,6776.9,6689.25,6733.3,10062675,613.05
2011-03-17,6651.65,6690.8,6624.4,6633.85,9527735,671.92
2011-03-18,6631.95,6662.4,6536.3,6552.65,10007967,628.58
2011-03-21,6578.9,6581.2,6489.65,6504.85,8656705,581.78
2011-03-22,6530.75,6564.15,6506.2,6533.95,7473696,483.65
2011-03-23,6525.5,6601.4,6505.3,6595.65,9393645,695.98
2011-03-24,6605.9,6669.8,6604,6660.55,10339707,683.26
2011-03-25,6751.95,6960.45,6732.85,6930.65,13511990,1064.13
2011-03-28,6901.15,6938.7,6857.2,6912.35,10605791,880.28
2011-03-29,6903.95,7026.15,6902.65,6983.25,13235839,963.92
2011-03-30,6993.2,7061.8,6986.3,7010.05,11117926,703.95
2011-03-31,7021.45,7192.35,7021.45,7148.1,20273488,1729.31
2011-04-01,7136.8,7174.9,7084.5,7109.85,9219538,583.15
2011-04-04,7130.25,7281.35,7130.25,7267.85,13692267,837.85
2011-04-05,7265.5,7324.1,7188.35,7313.8,13902693,755.89
2011-04-06,7305.75,7344.9,7242.3,7270.85,20361959,922.19
2011-04-07,7249.75,7249.75,7190.3,7215.4,9836574,551.87
2011-04-08,7205.6,7249,7136.5,7168.8,12645153,626.14
2011-04-11,7107.5,7207.5,7099.2,7157.85,11538782,731.11
2011-04-13,7106.2,7328.75,7089.5,7306.1,13414327,1029.9
2011-04-15,7297.9,7298.25,6824.05,6842.15,24414623,3887.19
2011-04-18,6764.4,6852.45,6638.3,6651.05,17297397,2236.36
2011-04-19,6650.3,6703.2,6619.1,6668.45,10513829,1107.45
2011-04-20,6745.8,6825.6,6745.8,6818.15,18759527,1533.2
2011-04-21,6859.8,6899.35,6762.65,6780.85,19927294,2216.74
2011-04-25,6778.45,6856.55,6773.35,6834.4,17591163,1045.66
2011-04-26,6825.95,6853.65,6775.65,6825.35,11395343,1083.15
2011-04-27,6817.9,6832.25,6792.55,6809.1,14990560,908.32
2011-04-28,6807.75,6815.45,6718.6,6729.75,20663919,1453.01
2011-04-29,6722.8,6752.1,6680.65,6718.35,13228090,935.81
2011-05-02,6740.55,6772.4,6697.2,6715.65,9628707,799.17
2011-05-03,6711.25,6755.2,6620,6644.7,9730020,818.18
2011-05-04,6641.3,6641.3,6516.9,6576.5,10217385,963.23
2011-05-05,6577.8,6583.65,6484.85,6506.55,10023582,809.51
2011-05-06,6530.65,6658.6,6530.65,6627,11685370,785.08
2011-05-09,6645.15,6656.35,6554.85,6620.3,6287608,373.65
2011-05-10,6616.45,6686.5,6568.8,6596.75,6969145,395.4
2011-05-11,6601.75,6677.05,6601.75,6650.45,18353962,678.19
2011-05-12,6618,6644.2,6559.7,6569.2,15441309,588.83
2011-05-13,6569.2,6668.15,6565.45,6609.55,10178844,714.78
2011-05-16,6601.05,6615.9,6558.4,6564.05,10547806,542.83
2011-05-17,6547.75,6622.25,6541.2,6562.5,8946221,533.93
2011-05-18,6572.9,6640.15,6527.35,6582.55,10919151,734.53
2011-05-19,6620.45,6620.45,6580,6594.25,8664194,538.68
2011-05-20,6609.65,6637.05,6576.7,6615.4,8724875,587.1
